State,Pop. In Millions for 2012,RoLScore,elec_pros ,pol_plur,free_expr,assoc_org,per_auto,2012GDP,hprop,hfisc,hbiz,hlab,htra,hinv
Philippines,96.7,39.96,9,10,14,8,10,2.50182E+11,30,79.3,53.1,51,75.5,50
Poland,38.5,72.95,12,16,16,12,14,4.89795E+11,60,76,64,62.9,86.8,65
Portugal,10.5,62.96,12,16,16,12,15,2.12274E+11,70,61.6,82.8,31,86.8,70
Romania,20.1,60.79,12,14,14,11,12,1.92711E+11,40,87.9,70.4,63.5,86.8,80
Russia,143.5,35.53,1,3,6,5,7,2.01477E+12,25,86.9,69.2,52.6,77.4,25
Senegal,13.7,46.01,9,12,14,10,9,14045759802,40,65.2,56.7,41.3,72.2,55
Serbia,7.2,49.58,9,14,15,10,13,37488935010,40,84.2,60.2,70.4,77.9,65
Sierra Leone,6,42.3,10,11,13,8,10,3796030045,10,80.7,51.5,26.3,70.2,55
Singapore,5.3,71.95,4,8,10,4,12,2.74701E+11,90,91.1,97.1,91.4,90,75
Slovenia,2.1,66.52,12,15,14,12,13,45279487180,60,65.7,80.7,40.4,86.8,70
South Africa,52.3,51.68,12,14,15,12,11,3.84313E+11,50,70.5,74.7,55.6,76.3,45
South Korea,50,70.74,11,15,14,11,12,1.1296E+12,70,73,93.6,48.7,72.6,70
Spain,46.8,71.26,12,16,16,12,15,1.32296E+12,70,53.9,80.3,54.3,86.8,80
Sri Lanka,20.3,50.55,6,6,8,6,8,59423009404,40,84.7,77,60.8,76.2,40
Sweden,9.5,83.85,12,16,16,12,16,5.23806E+11,90,39.6,93.2,53.6,86.8,90
Tanzania,47.8,39.07,9,12,11,7,8,28242425168,30,79.9,48.6,61.9,73.5,55
Tunisia,10.8,50.42,9,12,10,8,9,45662043358,40,74.5,82.8,70.1,58.1,35
Turkey ,74,49.22,11,10,10,7,10,7.89257E+11,50,77,68.2,43.1,85.2,65
Uganda,36.3,33.57,3,7,11,5,7,19881412441,30,80.6,48.4,87.9,73.6,55
Ukraine,45.6,40.8,9,10,10,8,11,1.76309E+11,30,78.2,47.6,49.9,84.4,20
United Kingdom,63.6,73.13,12,16,15,12,15,2.47178E+12,90,57,94.1,71.6,86.8,90
United States,313.9,63.08,11,16,16,10,15,1.62446E+13,85,69.3,90.5,95.5,86.4,70
Uruguay,3.4,64.81,12,16,16,12,15,49919727146,70,84.2,73.4,70.7,82.9,75
Uzbekistan,29.8,30.43,0,0,1,0,3,51112745669,15,90.2,71.2,61,66.1,0
Venezuela,30,27.84,6,8,9,4,7,3.81286E+11,5,75.6,45.6,34.5,58.8,5
Zambia,14.1,39.62,9,13,11,7,8,20678025802,30,72.9,60.4,58.4,82.3,55
Zimbabwe,13.7,26.66,2,4,4,3,4,9802360203,10,71.8,33.4,21.9,50.4,0
